State,Payer_Name,Payer_Type,LOB,Drug_Class,Medication_Category,Step_Therapy_Required,Step_1_Requirement,Step_1_Duration,Step_2_Requirement,Step_2_Duration,Quantity_Limit,Contraindication_Bypass,Gold_Card_Available,Gold_Card_Threshold,Policy_ID,Source_Document,Vault_Payer_ID,National_Payer_ID,Vault_Denial_Code,Episodic_Same_As_Chronic,High_Freq_Episodic_Threshold,Episodic_Notes
PA,Highmark Blue Cross Blue Shield,Commercial,Commercial,Gepants,Acute,Yes,≥2 triptans from different chemical families (sulfonamide: sumatriptan/naratriptan vs indole: rizatriptan/zolmitriptan),≥4 weeks each unless early discontinuation for documented adverse effects,N/A,N/A,Standard QL,Yes - CV risk factors (uncontrolled HTN; CAD; CVD) qualify immediately without triptan trial; contraindication to vasoconstrictive agents,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,Policy I-11-042,Pennsylvania_2026_PA_Audit,PA-COM-HIGHBCBS,54154,DENY-STEP-001,TRUE,,
PA,Highmark Blue Cross Blue Shield,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 distinct oral preventive classes (beta-blockers; anticonvulsants; TCAs; SNRIs) at therapeutic doses (propranolol ≥80mg; topiramate ≥100mg; amitriptyline ≥50mg),≥8 weeks each,N/A,N/A,Aimovig/Ajovy/Emgality; failure = <50% reduction in monthly migraine days OR intolerable side effects,Yes - documented contraindications: depression (TCA unsafe); cognitive impairment (topiramate); CV contraindication (beta-blockers); sedation impacting occupation,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,Policy I-11-042,Pennsylvania_2026_PA_Audit,PA-COM-HIGHBCBS,54154,DENY-STEP-002,TRUE,,
PA,Highmark Blue Cross Blue Shield,Commercial,Commercial,Botox,Chronic Migraine,Yes,≥2 oral preventive classes (same as CGRP requirement); NOTE: does NOT require CGRP mAb failure before Botox - considered equivalent Tier 3 options,≥8 weeks each,N/A,N/A,Chronic Migraine (≥15 HA days/mo for ≥3 months; ≥8 days with migraine features),Yes - oral preventive contraindications,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,Policy I-200-005,Pennsylvania_2026_PA_Audit,PA-COM-HIGHBCBS,54154,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
PA,Independence Blue Cross,Commercial,Commercial,Gepants,Acute,Yes,"≥2 triptans OR documented contraindication; IBX accepts same-class trials if justified (e.g., two sumatriptan formulations for tolerability)",≥3 separate migraine episodes treated with each triptan,N/A,N/A,Standard QL,Yes - CV contraindication; accepts same-class trials with justification,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,IBX Gepants Policy effe86e1,Pennsylvania_2026_PA_Audit,PA-COM-IBX,23223,DENY-STEP-001,TRUE,,
PA,Independence Blue Cross,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 conventional oral preventives from different classes; IBX UNIQUELY allows SNRIs (venlafaxine; duloxetine) to count as one of two required classes,≥6 weeks each (SHORTER than Highmark 8-week),N/A,N/A,Standard criteria,Yes - teratogenic; CV contraindication; documented intolerance,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,IBX CGRP Policy,Pennsylvania_2026_PA_Audit,PA-COM-IBX,23223,DENY-STEP-002,TRUE,,
PA,Independence Blue Cross,Commercial,Commercial,Botox,Chronic Migraine,Yes,≥2 oral preventives,≥6 weeks each (shorter than Highmark),N/A,N/A,Chronic Migraine (≥15 HA days/mo for ≥3 months); REQUIRES headache diary documentation for 3-month period prior to PA submission,Yes - oral preventive contraindications,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,IBX Botulinum Toxins Form,Pennsylvania_2026_PA_Audit,PA-COM-IBX,23223,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
PA,UPMC Health Plan,Commercial,Commercial,Gepants,Acute,Yes,≥2 DIFFERENT triptans (explicitly requires chemical class distinction),≥4 weeks each unless early discontinuation documented,N/A,N/A,Standard QL,Yes - CV contraindication; contraindication to vasoconstrictive agents,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,UPMC Pharmacy PA Criteria,Pennsylvania_2026_PA_Audit,PA-COM-UPMC,93692,DENY-STEP-001,TRUE,,
PA,UPMC Health Plan,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 conventional preventives from different classes (beta-blockers; anticonvulsants; TCAs explicitly listed as preferred first-line),≥8 weeks each,N/A,N/A,Standard criteria,Yes - documented contraindications/intolerances,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,UPMC CGRP Policy,Pennsylvania_2026_PA_Audit,PA-COM-UPMC,93692,DENY-STEP-002,TRUE,,
PA,UPMC Health Plan,Commercial,Commercial,Botox,Chronic Migraine,Yes,≥2 oral preventives,≥8 weeks each,N/A,N/A,Chronic Migraine (≥15 HA days/mo for ≥3 months); accepts EITHER headache diary OR physician attestation in clinical notes,Yes - oral preventive contraindications,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,UPMC Botox Policy,Pennsylvania_2026_PA_Audit,PA-COM-UPMC,93692,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
PA,UPMC For You,Medicaid MCO,Medicaid Pharmacy,Gepants,Acute,Yes,≥2 triptans from different chemical classes per PA DHS PDL (pharmacy CARVED OUT to state PDL),≥4-6 weeks each (adequate trial); failure = <50% reduction OR intolerable effects OR contraindication (CV disease; hemiplegic/basilar migraine),N/A,N/A,PA DHS PDL governs; different from UPMC Health Plan commercial,Yes - CV contraindication to vasoconstrictive agents (uncontrolled HTN; ischemic heart; PVD; CVD; hemiplegic/basilar migraine),Act 146 (Medicaid),N/A,PA DHS Statewide PDL,Pennsylvania_2026_PA_Audit,PA-MCD-UPMCHEALTH,93692,DENY-STEP-001,TRUE,,
