Vault_Denial_Code,Denial_Reason,Winning_Clinical_Phrases_Universal,Source_Authority,Evidence_Citation,Clinical_Scenario,Bypass_Mechanism,Medications_Applicable,Usage_Notes,Statutory_Blurbs_State_Specific,State
DENY-STEP-001,Step Therapy Required - Triptan Failure for Gepants/Ditans,"Patient has a contraindication to vasoconstrictive agents. Triptans and ergotamines are vasoconstrictors and are contraindicated in patients with history of uncontrolled hypertension, ischemic heart disease, peripheral vascular disease, cerebrovascular disease, or hemiplegic/basilar migraine. The mechanism of action of Gepants (Ubrelvy/Nurtec) and Ditans (Reyvow) does not involve vasoconstriction, establishing them as the medically necessary first-line acute treatment for this patient to prevent adverse cardiovascular events.",AHS Consensus 2021 | ACP Guidelines 2025,Ailani J et al. Headache. 2021;61(7):1021-1039. doi:10.1111/head.14153,Requesting Ubrelvy/Nurtec/Reyvow when patient has documented cardiovascular contraindications to triptans,Cardiovascular Disease / Uncontrolled Hypertension bypass,"Ubrogepant (Ubrelvy), Rimegepant (Nurtec ODT), Lasmiditan (Reyvow)","Use ONLY when documented CV contraindications exist in medical record. Required documentation: diagnosis of CAD, PVD, uncontrolled HTN, CVA history, or hemiplegic/basilar migraine subtype.",,ALL
DENY-STEP-002,Step Therapy Required - Oral Preventive Failure for Non-Oral Formulations,"Patient has severe gastrointestinal intolerance with documented gastroparesis/gastric stasis preventing absorption of oral medications. Oral acute and preventive medications are clinically inappropriate due to impaired gastric motility. Non-oral formulations (nasal spray, subcutaneous injection, IV infusion, neuromodulation devices) are medically necessary to achieve therapeutic effect.",AHS Consensus 2021 | ACP Guidelines 2025,Ailani J et al. Headache. 2021;61(7):1021-1039. doi:10.1111/head.14153,Requesting injectable CGRP mAbs or nasal DHE when patient cannot tolerate oral medications,Severe Nausea/Vomiting (Gastric Stasis) bypass,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Eptinezumab (Vyepti), DHE nasal spray (Trudhesa), Neuromodulation devices",Use when patient has documented gastroparesis diagnosis or severe nausea/vomiting during migraine attacks preventing oral medication use. ICD-10: K31.84 (Gastroparesis).,,ALL
DENY-STEP-003,Step Therapy Required - Teratogenic Medication Bypass,Patient has teratogenic contraindication to valproate and topiramate. These medications must not be prescribed to women of childbearing potential without reliable birth control due to established teratogenic risks and birth defects. CGRP monoclonal antibodies and gepants represent safer alternatives for migraine prevention in this population.,AHS Consensus 2019 | ACP Guidelines 2025 | FDA Black Box Warning,American Headache Society. Headache. 2019;59(1):1-18. doi:10.1111/head.13456,Requesting CGRP mAbs or gepants for female patient of childbearing potential when valproate/topiramate would otherwise be indicated,Pregnancy / Childbearing Potential bypass,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Atogepant (Qulipta), Rimegepant (Nurtec ODT)",Use for females of childbearing age (typically 15-50) regardless of current pregnancy status. Document reproductive status and contraception discussion in chart.,,ALL
DENY-STEP-004,Step Therapy Required - MOH Risk Prevention,"Patient is at high risk for Medication Overuse Headache (MOH) due to current acute medication use exceeding 2 days per week. Opioids, butalbital-containing compounds, and non-specific analgesics carry significant MOH risk. CGRP-targeting therapies (gepants for acute use, mAbs for prevention) do not carry the same MOH risk profile and are medically necessary to break the cycle of medication overuse while providing effective migraine treatment.",AHS Consensus 2021 | ICHD-3 Criteria,Ailani J et al. Headache. 2021;61(7):1021-1039. | ICHD-3 Chapter 8.2,Patient using acute medications >10-15 days/month at risk for or currently experiencing MOH; requesting gepants or CGRP mAbs,Risk of Medication Overuse Headache (MOH) bypass,"Rimegepant (Nurtec ODT), Ubrogepant (Ubrelvy), Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality)","Document frequency of acute medication use in headache diary. ICHD-3 MOH thresholds: Simple analgesics ≥15 days/month, Triptans/ergots/opioids/combination ≥10 days/month. ICD-10: G44.41.",,ALL
DENY-STEP-005,Step Therapy Required - Adverse Event Intolerance,"Patient experienced discontinuation due to adverse events from topiramate and/or tricyclic antidepressants. Topiramate is associated with high rates of adverse events including paresthesia, cognitive slowing ('brain fog'), weight loss, and nephrolithiasis leading to discontinuation. TCAs cause anticholinergic effects, sedation, and cardiac conduction abnormalities. ACP guidelines prioritize treatments with favorable adverse event profiles. CGRP-targeting therapies demonstrate remarkable tolerability with significantly lower discontinuation rates.",AHS Position Statement 2024 | ACP Guidelines 2025,Charles AC et al. Headache. 2024;64(4):333-341. doi:10.1111/head.14692,Patient failed topiramate or TCA due to intolerable side effects; requesting CGRP mAbs or gepants,Adverse Event Intolerance (Cognitive/Physical) bypass,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Atogepant (Qulipta)","Document specific adverse events experienced and duration of trial before discontinuation. Common topiramate AEs: paresthesia, cognitive dysfunction, weight loss, kidney stones. Common TCA AEs: dry mouth, constipation, sedation, weight gain, QT prolongation.",,ALL
DENY-FIRST-001,First-Line CGRP Therapy Without Step Therapy,"The CGRP-targeting migraine therapies are a first-line option for migraine prevention. Initiation of these therapies should not require trial and failure of non-specific migraine preventive medication approaches. CGRP is established as a fundamental mechanism of migraine, making CGRP-targeting therapies 'migraine-specific' in contrast to all other established therapies developed for other indications (hypertension, depression, epilepsy). The cumulative evidence for efficacy, safety, and tolerability of CGRP-targeting therapies is significantly greater than that for any established migraine preventive therapy.",AHS Position Statement 2024,Charles AC et al. Headache. 2024;64(4):333-341. doi:10.1111/head.14692 | VERBATIM,Requesting CGRP mAbs or gepants as initial preventive therapy without prior oral preventive trials,AHS 2024 First-Line Position Statement,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Eptinezumab (Vyepti), Atogepant (Qulipta), Rimegepant (Nurtec ODT for prevention)",Cite AHS 2024 Position Statement directly. Use in conjunction with state-specific statutory language where Gold Card or step therapy reform laws exist.,,ALL
DENY-DUAL-001,Dual Therapy - OnabotulinumtoxinA Plus CGRP mAb,"In patients with intractable chronic migraine already receiving OnabotulinumtoxinA (Botox), the addition of a CGRP monoclonal antibody has been observed to improve treatment response. The combination extended therapeutic effects by approximately 2 weeks compared to OnabotulinumtoxinA monotherapy. Differential effects on the trigeminovascular system suggest synergistic capability between the two modalities, with good tolerability and safety. This patient meets criteria for treatment-refractory chronic migraine and requires combination therapy.",AHS Consensus Statement 2021,Ailani J et al. Headache. 2021;61(7):1021-1039. doi:10.1111/head.14153,Patient with chronic migraine on Botox with suboptimal response; requesting addition of CGRP mAb,Synergistic mechanism for refractory chronic migraine,OnabotulinumtoxinA (Botox) + Erenumab (Aimovig) OR Fremanezumab (Ajovy) OR Galcanezumab (Emgality),"Use for chronic migraine (≥15 headache days/month per ICHD-3) with documented partial response to Botox. Document baseline headache frequency, Botox response, and functional impairment scores (MIDAS/HIT-6).",,ALL
DENY-REFRAC-001,Treatment-Refractory Chronic Migraine,"Patient has treatment-refractory chronic migraine with inadequate response to migraine-specific acute therapy and multiple preventive medication classes. Refractory status is defined by failure of ≥2 preventive medication classes from different pharmacologic categories at therapeutic doses for ≥8 weeks each, with <50% reduction in monthly headache days. Advanced interventions including CGRP-targeting therapies, dual therapy, or neuromodulation are medically necessary.",AHS Consensus 2021 | ACP Guidelines 2025,Ailani J et al. Headache. 2021;61(7):1021-1039. | Qaseem A et al. Ann Intern Med. 2025;178:426-433.,Patient failed multiple preventive classes; requesting CGRP mAbs or combination therapy,Documented failure of ≥2 preventive classes at therapeutic dose for ≥8 weeks,"CGRP mAbs, Gepants, OnabotulinumtoxinA, Neuromodulation devices","Document each prior preventive trial: medication name, dose achieved, duration, reason for discontinuation. Required: ≥8 weeks at therapeutic dose per ACP 2025.",,ALL
DENY-RENEW-001,Renewal/Continuation - Sustained Reduction in Headache Days,"Patient demonstrates sustained reduction in monthly headache days on current CGRP-targeting therapy. Continuation is medically necessary to maintain therapeutic benefit and prevent disease progression. Discontinuation would result in return to baseline disability and increased healthcare utilization. Per ACP guidelines, success metric is ≥50% reduction in mean monthly headache days.",ACP Guidelines 2025 | AHS Position Statement 2024,Qaseem A et al. Ann Intern Med. 2025;178:426-433. doi:10.7326/ANNALS-24-01052,Requesting reauthorization of CGRP mAb or gepant with documented efficacy,Documented ≥50% reduction in monthly headache days,All CGRP mAbs and gepants,Document pre-treatment baseline headache frequency vs. current frequency. Include MIDAS or HIT-6 scores showing improvement.,,ALL
DENY-QOL-001,Quality of Life Improvement Documentation,Patient demonstrates clinically meaningful improvement in quality of life on current migraine therapy as measured by validated instruments. MIDAS score reduction of ≥30% or HIT-6 score reduction of ≥5 points indicates clinically significant improvement. Continuation of therapy is medically necessary to maintain functional status.,ACP Guidelines 2025 | MIDAS/HIT-6 Validation Studies,Qaseem A et al. Ann Intern Med. 2025;178:426-433. | Stewart WF et al. Neurology. 2001;56(6 Suppl 1):S20-S28.,Requesting continuation or renewal with QoL documentation using MIDAS/HIT-6,Validated QoL instrument showing clinically meaningful improvement,All migraine preventive therapies,"Include baseline and current scores. MIDAS: Grade I (0-5), II (6-10), III (11-20), IV (≥21). HIT-6: ≤49 (little/no impact), 50-55 (some), 56-59 (substantial), ≥60 (severe).",,ALL
