Vault_Denial_Code,Denial_Reason,Winning_Clinical_Phrases_Universal,Source_Authority,Evidence_Citation,Clinical_Scenario,Bypass_Mechanism,Medications_Applicable,Usage_Notes,Statutory_Blurbs_State_Specific,State
DENY-AI-001,AI/Algorithmic Denial Challenge - Human Review Required,"Pursuant to [STATE STATUTE], denials based solely on artificial intelligence or algorithmic determinations without human clinical review are prohibited. This denial appears to be an automated 'predictive denial' generated without meaningful physician oversight. We demand peer-to-peer review by a licensed physician as required by state law.",State Anti-AI Denial Statutes,NE LB 77 | AL Insurance Dept Policy,Denial appears algorithmic/automated without physician review,Anti-AI Denial / Human Review Requirement,All medications,"Look for signs of automated denial: generic language, no clinical rationale, immediate turnaround, boilerplate text. Challenge if denial lacks individualized medical review.","NE: 'Pursuant to Nebraska LB 77, denials based solely on artificial intelligence or algorithmic determinations are prohibited. This denial appears to be an automated predictive denial without human clinical review. We demand peer-to-peer review by a licensed physician per statute.' | AL: 'Per Alabama Insurance Department guidance, AI-only denials without physician oversight are not valid adverse determinations.'","NE,AL"
DENY-BOTOX-EPISODIC,Botox Denial - Episodic Migraine Not Covered (VALID DENIAL),"This denial is clinically appropriate. OnabotulinumtoxinA (Botox) is FDA-approved ONLY for chronic migraine, defined as headache occurring on ≥15 days per month for >3 months with migraine features on ≥8 days per month (ICHD-3 Section 1.3). Patient has episodic migraine ([X] days/month) and does not meet the FDA-approved indication. Appropriate alternatives for episodic migraine prevention include CGRP monoclonal antibodies (Aimovig, Ajovy, Emgality, Vyepti) and oral gepants (Qulipta, Nurtec ODT), all of which have FDA approval for both episodic and chronic migraine.",FDA Label | ICHD-3 | AHS Consensus 2021,FDA Botox Label Section 1.1 | ICHD-3 Section 1.3 | Ailani J et al. Headache. 2021,Provider education: Botox requested for episodic patient - denial is CORRECT,N/A - This validates denial and redirects to appropriate alternatives,"Botox NOT applicable; Redirect to: Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Eptinezumab (Vyepti), Atogepant (Qulipta), Rimegepant (Nurtec ODT)","⚠️ THIS IS A VALID DENIAL ACKNOWLEDGMENT - Use to educate providers that Botox denial for episodic patients is correct per FDA label. System should PREVENT Botox selection for episodic patients before PA submission. ICD-10 codes G43.0xx, G43.1xx, G43.8xx = Botox ineligible.",,ALL
DENY-CLUSTER-001,Cluster Headache - Emgality 300mg Medical Necessity,"Patient has been diagnosed with episodic cluster headache per ICHD-3 criteria (Section 3.1.1): severe unilateral orbital, supraorbital, and/or temporal pain lasting 15-180 minutes; ipsilateral autonomic features (conjunctival injection, lacrimation, nasal congestion, rhinorrhea, forehead/facial sweating, miosis, ptosis, eyelid edema); sense of restlessness or agitation; attack frequency of one every other day to eight per day; cluster periods lasting 7 days to 1 year separated by remission periods ≥3 months. Per FDA approval (June 2019) and Goadsby et al. NEJM 2019, galcanezumab (Emgality) 300mg monthly is the only CGRP-targeting therapy FDA-approved for episodic cluster headache prevention.",FDA Label 2019 | ICHD-3 | AHS Cluster Guidelines 2016,Goadsby PJ et al. NEJM 2019;381:132-141. doi:10.1056/NEJMoa1813440,PA request for Emgality 300mg for episodic cluster headache patient,Cluster Headache Diagnosis Documentation,Galcanezumab (Emgality) 300mg - ONLY FDA-approved CGRP for cluster headache,Use ONLY for episodic cluster (G44.011/G44.019). Chronic cluster (G44.02x) NOT FDA-approved. Emgality dose is 300mg for cluster (vs 120mg for migraine).,,ALL
DENY-CLUSTER-002,Cluster Headache - Step Therapy Completion (Verapamil/Lithium),"Patient has completed adequate trials of conventional cluster headache preventive therapies. Patient trialed verapamil at doses up to [X]mg/day with [inadequate efficacy / intolerable adverse effects / ECG abnormalities]. Patient trialed lithium at therapeutic serum levels (0.6-1.2 mEq/L) with [inadequate efficacy / intolerable adverse effects / renal or thyroid concerns]. Per AHS Cluster Headache Guidelines (Robbins et al. Headache 2016), galcanezumab (Emgality) 300mg represents an evidence-based next-line preventive option.",AHS Cluster Headache Guidelines 2016,Robbins MS et al. Headache 2016;56:1093-1106. doi:10.1111/head.12866,PA for Emgality after failure of verapamil and/or lithium,Cluster Preventive Step Therapy Completion,Galcanezumab (Emgality) 300mg,Document doses and durations. For verapamil note ECG monitoring and max dose (up to 960mg/day). For lithium note serum levels. Cluster trials may be 2-4 weeks (shorter than migraine 8 weeks).,,ALL
DENY-CLUSTER-003,Cluster Headache - Verapamil/Lithium Contraindication Bypass,"Patient has documented contraindications to conventional cluster preventives. [For verapamil]: Patient has [sick sinus syndrome / AV block / severe LV dysfunction / hypotension / bradycardia], precluding safe use at therapeutic cluster doses (240-960mg/day). [For lithium]: Patient has [significant renal impairment / lithium-induced thyroid dysfunction / prior toxicity / pregnancy]. Per AHS 2016 Guidelines and FDA approval, Emgality 300mg is indicated for episodic cluster prevention.",AHS Cluster Guidelines 2016 | FDA Label 2019,Robbins MS et al. Headache 2016;56:1093-1106 | FDA Emgality Label,Episodic cluster patient who cannot take verapamil or lithium,Verapamil/Lithium Contraindication Bypass,Galcanezumab (Emgality) 300mg,"Document specific contraindication with evidence (ECG, labs). Bypasses step therapy like migraine CV bypass for triptans.",,ALL
DENY-CLUSTER-004,Chronic Cluster Headache - Off-Label Emgality Appeal,"Patient has refractory chronic cluster headache per ICHD-3 (Section 3.1.2): attacks for ≥1 year without remission or remissions <3 months. While galcanezumab did not meet primary endpoint in Phase 3 chronic cluster trial (Dodick et al. Cephalalgia 2020), real-world evidence demonstrates meaningful response in selected refractory patients. Patient has exhausted all conventional options. Given severity and lack of FDA-approved alternatives for chronic cluster, off-label galcanezumab 300mg is medically necessary.",ICHD-3 | Real-World Evidence,Dodick DW et al. Cephalalgia 2020;40:935-948 | Ruscheweyh R et al. Cephalalgia 2020;40:1574-1584,Refractory chronic cluster patient seeking off-label Emgality,Off-Label Medical Necessity for Refractory Chronic Cluster,Galcanezumab (Emgality) 300mg - OFF-LABEL for chronic cluster,⚠️ HIGH DENIAL RISK. Chronic cluster (G44.02x) NOT FDA-approved. Phase 3 failed. Use only for truly refractory patients. Expect denial; prepare for peer-to-peer.,,ALL
DENY-CLUSTER-005,Cluster Headache - Wrong Diagnosis Code Correction,"This PA request is for cluster headache, NOT migraine. Patient has trigeminal autonomic cephalalgia characterized by: strictly unilateral pain; attack duration 15-180 minutes (vs migraine 4-72 hours); prominent autonomic features; circadian rhythmicity; restlessness during attacks. ICD-10 must be G44.01x (episodic) or G44.02x (chronic), NOT G43.xxx. Please process under cluster headache criteria: step therapy is verapamil/lithium (not beta-blockers/TCAs); medication is Emgality 300mg (not other CGRPs).",ICHD-3 Diagnostic Criteria,ICHD-3 Section 3.1 vs Section 1,PA denied because migraine criteria applied to cluster patient,Diagnosis Correction - Cluster vs Migraine,Galcanezumab (Emgality) 300mg,"Use when payer applied migraine PA criteria to cluster request. Clarify ICD-10, step therapy, and medication differences.",,ALL
DENY-CLUSTER-006,Cluster Headache Acute - High-Flow Oxygen Medical Necessity,"Patient requires home high-flow oxygen for acute cluster attack abortion. Per AHS Guidelines (Robbins et al. Headache 2016), high-flow oxygen at 12-15 L/min via non-rebreather mask is Level A evidence for cluster acute treatment with 78% response rate (Cohen et al. JAMA 2009). Patient experiences [X] attacks per [day/week]. Oxygen is non-pharmacological, has no medication overuse risk, and prevents ED utilization.",AHS Cluster Guidelines 2016 | Level A Evidence,Cohen AS et al. JAMA 2009;302:2451-2457,PA for home oxygen equipment for cluster headache,Cluster Acute Treatment - Oxygen,High-flow oxygen 12-15 L/min; E-cylinder tanks; non-rebreather mask,Often DME benefit not pharmacy. Document attack frequency. Fire safety counseling required.,,ALL
DENY-CONT-001,Continuity of Care - Plan Transition Protection,"Pursuant to [STATE STATUTE], the insurer is statutorily mandated to honor the prior authorization granted by [Previous Insurer] for a minimum of 90 days during plan transition. The patient is stable on this therapy and has been receiving it under continuous prior authorization. Discontinuation or demand for step therapy restart constitutes a violation of state law regarding continuity of care for patients in an active course of treatment.",State Continuity of Care Statutes,MT SB 449 | ME 24-A MRSA §4304-B | VT Act 111 | WY statute | AR Act 97,Patient switching plans; previous PA should be honored,Continuity of Care / Plan Transition Protection,All medications with active PA from previous plan,Obtain copy of previous PA approval letter. Submit Continuity of Care request BEFORE first refill needed under new plan.,"MT: 'Pursuant to Montana SB 449 (2025), the insurer must honor the prior authorization granted by [Previous Insurer] for 90 days minimum.' | ME: 'Pursuant to Maine 24-A MRSA §4304-B, the carrier cannot restrict coverage for this prescription approved by the previous carrier for at least 90 days.' | VT: 'Pursuant to Vermont Act 111, new insurer must honor previous approval for 90 days if patient is stable.' | AR: 'Pursuant to Arkansas Act 97, step therapy from previous plan must be honored; cannot restart step therapy.'","MT,ME,VT,WY,AR,OK,MS,AK"
DENY-DUAL-001,Dual Therapy - OnabotulinumtoxinA Plus CGRP mAb,"In patients with intractable chronic migraine already receiving OnabotulinumtoxinA (Botox), the addition of a CGRP monoclonal antibody has been observed to improve treatment response. The combination extended therapeutic effects by approximately 2 weeks compared to OnabotulinumtoxinA monotherapy. Differential effects on the trigeminovascular system suggest synergistic capability between the two modalities, with good tolerability and safety. This patient meets criteria for treatment-refractory chronic migraine and requires combination therapy.",AHS Consensus Statement 2021,Ailani J et al. Headache. 2021;61(7):1021-1039. doi:10.1111/head.14153,Patient with chronic migraine on Botox with suboptimal response; requesting addition of CGRP mAb,Synergistic mechanism for refractory chronic migraine,OnabotulinumtoxinA (Botox) + Erenumab (Aimovig) OR Fremanezumab (Ajovy) OR Galcanezumab (Emgality),"Use for chronic migraine (≥15 headache days/month per ICHD-3) with documented partial response to Botox. Document baseline headache frequency, Botox response, and functional impairment scores (MIDAS/HIT-6).",,ALL
