ICD10_Code,ICD10_Description,ICHD3_Code,ICHD3_Description,Diagnostic_Criteria_Summary,Frequency_Threshold,Duration_Threshold,Billable,PA_Relevance,Medications_Applicable,LCD_Coverage_Notes,Common_Denial_Risks
G43.001,"Migraine without aura, not intractable, with status migrainosus",1.1,Migraine without aura,≥5 attacks; 4-72 hours duration; ≥2 of: unilateral/pulsating/moderate-severe/aggravated by activity; ≥1 of: nausea-vomiting/photo-phonophobia,<15 days/month,4-72 hours,Yes,Episodic preventives and acute therapies,"Triptans, NSAIDs, Gepants (acute), Oral preventives",Episodic codes NOT covered for Botox under Medicare LCDs. Use for CGRP mAbs if <15 headache days/month.,Using for Botox claims = automatic denial
G43.009,"Migraine without aura, not intractable, without status migrainosus",1.1,Migraine without aura,≥5 attacks; 4-72 hours duration; ≥2 of: unilateral/pulsating/moderate-severe/aggravated by activity; ≥1 of: nausea-vomiting/photo-phonophobia,<15 days/month,4-72 hours,Yes,Episodic preventives and acute therapies,"Triptans, NSAIDs, Gepants (acute), Oral preventives","Most common episodic migraine code. Valid for CGRP mAbs, gepants, triptans.",Using for Botox = denial; misuse on chronic patients loses appeal leverage
G43.011,"Migraine without aura, intractable, with status migrainosus",1.1 + 1.4.1,Migraine without aura with status migrainosus,Migraine attack >72 hours despite treatment; debilitating headache continuous for >72 hours,<15 days/month,>72 hours continuous,Yes,Emergency/urgent care medications,"IV DHE, Ketorolac, Corticosteroids, Gepants",Intractable indicates treatment-resistant. May support escalation to CGRP therapies.,Document failed rescue medications
G43.019,"Migraine without aura, intractable, without status migrainosus",1.1,Migraine without aura (treatment-resistant),≥5 attacks meeting criteria; failed multiple acute treatments,<15 days/month,4-72 hours,Yes,Escalated acute therapies,"Gepants, Ditans, CGRP mAbs for prevention",'Intractable' supports step therapy bypass arguments for refractory patients.,Document specific treatments that failed
G43.101,"Migraine with aura, not intractable, with status migrainosus",1.2,Migraine with aura,≥2 attacks with aura; visual/sensory/speech symptoms 5-60 min; ≥1 aura symptom unilateral; headache within 60 min of aura,<15 days/month,4-72 hours + aura,Yes,Episodic preventives and acute therapies,"Triptans (after aura), Gepants, Oral preventives",Episodic code. NOT valid for Botox under Medicare LCDs.,Hemiplegic/brainstem aura = triptan contraindication
G43.109,"Migraine with aura, not intractable, without status migrainosus",1.2,Migraine with aura,≥2 attacks with aura; visual/sensory/speech symptoms 5-60 min; ≥1 aura symptom unilateral; headache within 60 min of aura,<15 days/month,4-72 hours + aura,Yes,Episodic preventives and acute therapies,"Triptans (after aura), Gepants, Oral preventives",Standard episodic migraine with aura code.,Using for Botox = automatic denial
G43.111,"Migraine with aura, intractable, with status migrainosus",1.2 + 1.4.1,Migraine with aura + status migrainosus,Aura-associated migraine >72 hours despite treatment,<15 days/month,>72 hours,Yes,Emergency/urgent care,"IV therapies, Corticosteroids",Supports urgent/emergent treatment escalation.,Document failed treatments
G43.119,"Migraine with aura, intractable, without status migrainosus",1.2,Migraine with aura (treatment-resistant),≥2 attacks with aura; failed multiple treatments,<15 days/month,4-72 hours + aura,Yes,Escalated therapies,"Gepants, Ditans, CGRP mAbs",'Intractable' designation supports refractory status arguments.,Document treatment failures
G43.401,"Hemiplegic migraine, not intractable, with status migrainosus",1.2.3,Hemiplegic migraine,Migraine with aura including motor weakness; fully reversible motor and visual/sensory/speech symptoms,Variable,Variable + motor weakness,Yes,CGRP therapies (triptans contraindicated),"CGRP mAbs, Gepants, Non-vasoconstrictive agents",CRITICAL: Triptans CONTRAINDICATED in hemiplegic migraine. Direct pathway to gepants/ditans.,Prescribing triptans = safety violation
G43.409,"Hemiplegic migraine, not intractable, without status migrainosus",1.2.3,Hemiplegic migraine,Migraine with aura including motor weakness; fully reversible motor and visual/sensory/speech symptoms,Variable,Variable + motor weakness,Yes,CGRP therapies (triptans contraindicated),"CGRP mAbs, Gepants, Ditans",Hemiplegic subtype = automatic triptan step therapy bypass per AHS guidelines.,Document motor weakness clearly in notes
G43.411,"Hemiplegic migraine, intractable, with status migrainosus",1.2.3,Hemiplegic migraine (treatment-resistant),Hemiplegic migraine >72 hours or failing treatment,Variable,>72 hours,Yes,Escalated non-vasoconstrictive therapies,"IV Eptinezumab, Gepants",Refractory hemiplegic migraine requires specialized management.,Urgent neurology referral may be needed
G43.419,"Hemiplegic migraine, intractable, without status migrainosus",1.2.3,Hemiplegic migraine (treatment-resistant),Hemiplegic migraine failing multiple treatments,Variable,Variable,Yes,Escalated CGRP therapies,"CGRP mAbs, Gepants, Ditans",Supports direct CGRP access without oral preventive trials.,Document all failed treatments
G43.501,"Persistent migraine aura without cerebral infarction, not intractable, with status migrainosus",1.4.2,Persistent aura without infarction,Aura symptoms persisting ≥1 week without evidence of infarction on neuroimaging,Variable,Aura ≥1 week,Yes,Specialized preventive therapy,"CGRP mAbs, Lamotrigine, Valproate",Rare diagnosis. Requires neuroimaging to exclude stroke.,Must document negative MRI/CT
G43.509,"Persistent migraine aura without cerebral infarction, not intractable, without status migrainosus",1.4.2,Persistent aura without infarction,Aura symptoms persisting ≥1 week without evidence of infarction on neuroimaging,Variable,Aura ≥1 week,Yes,Specialized preventive therapy,"CGRP mAbs, Lamotrigine",Persistent aura = complex case requiring specialist management.,Document negative neuroimaging
G43.511,"Persistent migraine aura without cerebral infarction, intractable, with status migrainosus",1.4.2,Persistent aura without infarction (treatment-resistant),Persistent aura ≥1 week; failing treatment,Variable,Aura ≥1 week,Yes,Escalated therapies,"CGRP mAbs, IV magnesium",Complex refractory case.,Consider headache specialist referral
G43.519,"Persistent migraine aura without cerebral infarction, intractable, without status migrainosus",1.4.2,Persistent aura without infarction (treatment-resistant),Persistent aura ≥1 week; failing multiple treatments,Variable,Aura ≥1 week,Yes,Escalated therapies,"CGRP mAbs, Combination therapy",Supports aggressive treatment approach.,Document all interventions tried
G43.601,"Persistent migraine aura with cerebral infarction, not intractable, with status migrainosus",1.4.3,Migrainous infarction,Aura symptoms with ischemic brain lesion on neuroimaging during typical migraine with aura attack,Variable,Aura with infarction,Yes,Stroke prevention + migraine prevention,"CGRP mAbs (preferred), Avoid triptans/ergots",STROKE CODE - Triptans/ergots absolutely contraindicated. Direct CGRP access.,Never prescribe vasoconstrictors
G43.609,"Persistent migraine aura with cerebral infarction, not intractable, without status migrainosus",1.4.3,Migrainous infarction,Aura symptoms with documented cerebral infarction,Variable,Aura with infarction,Yes,Stroke prevention + migraine prevention,"CGRP mAbs, Gepants, Ditans",Stroke history = automatic triptan/ergot contraindication.,Document CVA on imaging
G43.701,"Chronic migraine without aura, not intractable, with status migrainosus",1.3,Chronic migraine,≥15 headache days/month for >3 months; ≥8 days meeting migraine criteria; history of ≥5 episodic attacks,≥15 days/month,≥4 hours/day,Yes,CRITICAL: Botox + CGRP mAbs + preventives,"OnabotulinumtoxinA (Botox), CGRP mAbs, Gepants, Oral preventives",PRIMARY CODE FOR BOTOX COVERAGE. Medicare LCD L38809/DL39909 requires G43.7xx series.,Document 15/8/4 rule: ≥15 days
G43.709,"Chronic migraine without aura, not intractable, without status migrainosus",1.3,Chronic migraine,≥15 headache days/month for >3 months; ≥8 days meeting migraine criteria; history of ≥5 episodic attacks,≥15 days/month,≥4 hours/day,Yes,CRITICAL: Most common chronic migraine code,"OnabotulinumtoxinA (Botox), CGRP mAbs, Gepants, Oral preventives",MOST COMMONLY USED CHRONIC MIGRAINE CODE. Valid for all preventive therapies including Botox.,Must document headache diary showing 15/8/4 criteria
G43.711,"Chronic migraine without aura, intractable, with status migrainosus",1.3,Chronic migraine (intractable),Chronic migraine meeting 15/8/4 criteria; failing multiple treatments,≥15 days/month,≥4 hours/day,Yes,Refractory chronic migraine therapies,"Botox, CGRP mAbs, Dual therapy (Botox + CGRP)",'Intractable' supports dual therapy (Botox + CGRP mAb) per AHS 2021.,Document all failed preventive trials
G43.719,"Chronic migraine without aura, intractable, without status migrainosus",1.3,Chronic migraine (intractable),Chronic migraine meeting 15/8/4 criteria; treatment-resistant,≥15 days/month,≥4 hours/day,Yes,Refractory chronic migraine therapies,"Botox, CGRP mAbs, Dual therapy, Neuromodulation",Strongest code for refractory chronic migraine. Supports aggressive treatment escalation.,Document ≥2 preventive class failures
G43.801,"Other migraine, not intractable, with status migrainosus",1.5/1.6,Probable migraine or episodic syndromes,Migraine-like attacks not meeting full criteria; or episodic syndromes associated with migraine,Variable,Variable,Yes,Standard migraine therapies,"Triptans, Gepants, Oral preventives",Less specific code. May trigger requests for additional documentation.,Consider more specific code if available
G43.809,"Other migraine, not intractable, without status migrainosus",1.5/1.6,Probable migraine or episodic syndromes,Migraine-like attacks not meeting full criteria,Variable,Variable,Yes,Standard migraine therapies,"Triptans, Gepants, Oral preventives",Generic 'other' code. Use when specific subtype unclear.,May require clarification on appeals
G43.811,"Other migraine, intractable, with status migrainosus",1.5/1.6,Probable migraine (treatment-resistant),Probable migraine failing treatment >72 hours,Variable,>72 hours,Yes,Escalated therapies,"Gepants, CGRP mAbs",Supports treatment escalation for atypical presentations.,Document symptom pattern and failed treatments
G43.819,"Other migraine, intractable, without status migrainosus",1.5/1.6,Probable migraine (treatment-resistant),Probable migraine failing multiple treatments,Variable,Variable,Yes,Escalated therapies,"Gepants, CGRP mAbs, Oral preventives",'Intractable' designation supports escalation.,Document treatment history
