Medication_Name,Generic_Name,Drug_Class,ACP_Drug_Class_Category,Therapeutic_Dose_Min,Therapeutic_Dose_Max,Dose_Unit,Trial_Duration_Min_Weeks,Trial_Duration_AHS_2021,Trial_Duration_ACP_2025,Evidence_Level,Common_Starting_Dose,Titration_Schedule,Common_AEs_Leading_to_Discontinuation,Contraindications,Step_Therapy_Class_Count,RxNorm_ID,Source_Citation
Propranolol,propranolol,Beta-blocker,Beta-adrenergic blocker,80,240,mg/day,8,8 weeks,8 weeks,Level A (Established),40mg BID,Increase by 40mg weekly,Fatigue; bradycardia; hypotension; depression; exercise intolerance,Asthma; COPD; heart block; severe bradycardia; uncompensated heart failure,Counts as 1 beta-blocker class,8787,AHS 2019; ACP 2025
Propranolol ER,propranolol extended-release,Beta-blocker,Beta-adrenergic blocker,80,240,mg/day,8,8 weeks,8 weeks,Level A (Established),80mg daily,Increase by 80mg weekly,Fatigue; bradycardia; hypotension; depression,Asthma; COPD; heart block; severe bradycardia,Counts as 1 beta-blocker class,860092,AHS 2019; ACP 2025
Metoprolol,metoprolol,Beta-blocker,Beta-adrenergic blocker,100,200,mg/day,8,8 weeks,8 weeks,Level A (Established),50mg BID,Increase by 50mg weekly,Fatigue; dizziness; bradycardia; cold extremities,Severe bradycardia; heart block; cardiogenic shock,Counts as 1 beta-blocker class,6918,AHS 2019; ACP 2025
Metoprolol Succinate ER,metoprolol succinate extended-release,Beta-blocker,Beta-adrenergic blocker,100,200,mg/day,8,8 weeks,8 weeks,Level A (Established),50mg daily,Increase by 50mg weekly,Fatigue; dizziness; bradycardia,Severe bradycardia; heart block,Counts as 1 beta-blocker class,866924,AHS 2019; ACP 2025
Timolol,timolol,Beta-blocker,Beta-adrenergic blocker,20,30,mg/day,8,8 weeks,8 weeks,Level A (Established),10mg BID,Increase by 10mg weekly,Fatigue; bradycardia; bronchospasm,Asthma; COPD; heart block,Counts as 1 beta-blocker class,10600,AHS 2019; ACP 2025
Atenolol,atenolol,Beta-blocker,Beta-adrenergic blocker,50,100,mg/day,8,8 weeks,8 weeks,Level B (Probably Effective),50mg daily,Increase to 100mg after 2 weeks,Fatigue; cold extremities; bradycardia,Severe bradycardia; heart block,Counts as 1 beta-blocker class,1202,AHS 2019; ACP 2025
Nadolol,nadolol,Beta-blocker,Beta-adrenergic blocker,80,240,mg/day,8,8 weeks,8 weeks,Level B (Probably Effective),40mg daily,Increase by 40mg weekly,Fatigue; bradycardia; dizziness,Asthma; COPD; heart block; severe bradycardia,Counts as 1 beta-blocker class,7348,AHS 2019; ACP 2025
Topiramate,topiramate,Antiseizure medication,Anticonvulsant/Antiepileptic,100,200,mg/day,8,8 weeks,8 weeks,Level A (Established),25mg daily,Increase by 25mg weekly,Cognitive dysfunction (word-finding); paresthesias; weight loss; nephrolithiasis; metabolic acidosis,Pregnancy; glaucoma; hepatic impairment; metabolic acidosis,Counts as 1 anticonvulsant class,38404,AHS 2019; ACP 2025; FDA Black Box for pregnancy
Divalproex Sodium,divalproex sodium,Antiseizure medication,Anticonvulsant/Antiepileptic,500,1000,mg/day,8,8 weeks,8 weeks,Level A (Established),250mg BID,Increase by 250mg weekly,Weight gain; tremor; alopecia; hepatotoxicity; thrombocytopenia,Pregnancy (teratogenic); hepatic disease; urea cycle disorders; mitochondrial disorders,Counts as 1 anticonvulsant class,2586,AHS 2019; ACP 2025; FDA Black Box for pregnancy
Valproate Sodium,valproate sodium,Antiseizure medication,Anticonvulsant/Antiepileptic,500,1000,mg/day,8,8 weeks,8 weeks,Level A (Established),250mg BID,Increase by 250mg weekly,Weight gain; tremor; alopecia; hepatotoxicity,Pregnancy (teratogenic); hepatic disease,Counts as 1 anticonvulsant class,11118,AHS 2019; ACP 2025; FDA Black Box for pregnancy
Amitriptyline,amitriptyline,Tricyclic antidepressant,TCA,50,150,mg/day,8,8 weeks,8 weeks,Level B (Probably Effective),10-25mg nightly,Increase by 10-25mg weekly,Dry mouth; constipation; weight gain; sedation; QT prolongation; urinary retention,Cardiac arrhythmia; recent MI; concurrent MAOIs; narrow-angle glaucoma,Counts as 1 TCA class,704,AHS 2019; ACP 2025
Nortriptyline,nortriptyline,Tricyclic antidepressant,TCA,50,100,mg/day,8,8 weeks,8 weeks,Level B (Probably Effective),10-25mg nightly,Increase by 10-25mg weekly,Dry mouth; constipation; sedation; less weight gain than amitriptyline,Cardiac arrhythmia; recent MI; concurrent MAOIs,Counts as 1 TCA class,7531,AHS 2019; ACP 2025
Venlafaxine,venlafaxine,SNRI,SNRI,150,225,mg/day,8,8 weeks,8 weeks,Level B (Probably Effective),37.5mg daily,Increase by 37.5-75mg weekly,Nausea; hypertension; discontinuation syndrome; sweating,Concurrent MAOIs; uncontrolled hypertension,Counts as 1 SNRI class,39786,AHS 2019; ACP 2025
Venlafaxine XR,venlafaxine extended-release,SNRI,SNRI,150,225,mg/day,8,8 weeks,8 weeks,Level B (Probably Effective),75mg daily,Increase by 75mg weekly,Nausea; hypertension; discontinuation syndrome,Concurrent MAOIs; uncontrolled hypertension,Counts as 1 SNRI class,321988,AHS 2019; ACP 2025
Duloxetine,duloxetine,SNRI,SNRI,60,120,mg/day,8,8 weeks,8 weeks,Level C (Possibly Effective),30mg daily,Increase to 60mg after 1 week,Nausea; dry mouth; constipation; fatigue,Concurrent MAOIs; uncontrolled narrow-angle glaucoma; hepatic impairment,Counts as 1 SNRI class,72625,AHS 2021
Candesartan,candesartan,ARB,Angiotensin II-receptor blocker,16,32,mg/day,8,8 weeks,8 weeks,Level B (Probably Effective),8mg daily,Increase by 8mg every 2 weeks,Dizziness; hypotension; hyperkalemia,Pregnancy; bilateral renal artery stenosis,Off-label; may count as separate class,214354,ACP 2025
Lisinopril,lisinopril,ACE inhibitor,ACE inhibitor,10,40,mg/day,8,8 weeks,8 weeks,Level C (Possibly Effective),10mg daily,Increase by 10mg every 2 weeks,Cough; dizziness; hyperkalemia; angioedema,Pregnancy; angioedema history; bilateral renal artery stenosis,Off-label; limited evidence for step therapy,29046,ACP 2025
OnabotulinumtoxinA,onabotulinumtoxinA,Neurotoxin,Botulinum toxin,155,195,units/12 weeks,12,6 months (2 cycles),6 months (2 cycles),Level A (Established),155 units per protocol,Fixed protocol - 31 injection sites,Neck pain; injection site pain; muscle weakness; ptosis,Infection at injection sites; hypersensitivity; neuromuscular disorders,Chronic migraine only; alternative to 2 oral preventive failures,1314999,AHS 2021; FDA-approved for chronic migraine
Erenumab,erenumab-aooe,CGRP mAb,CGRP monoclonal antibody,70,140,mg/month,12,3 months,3 months,Level A (Established),70mg monthly SC,May increase to 140mg if inadequate response,Injection site reactions; constipation (dose-related); hypertension (rare),Hypersensitivity to erenumab,CGRP class - bypasses oral preventive requirement per AHS 2024,1992146,AHS 2024; FDA-approved
Fremanezumab,fremanezumab-vfrm,CGRP mAb,CGRP monoclonal antibody,225,675,mg/month or quarter,12,3 months (monthly) or 6 months (quarterly),3-6 months,Level A (Established),225mg monthly OR 675mg quarterly SC,Monthly or quarterly dosing options,Injection site reactions; injection site induration,Hypersensitivity to fremanezumab,CGRP class - bypasses oral preventive requirement per AHS 2024,2058922,AHS 2024; FDA-approved
Galcanezumab,galcanezumab-gnlm,CGRP mAb,CGRP monoclonal antibody,120,240,mg/month,12,3 months,3 months,Level A (Established),240mg loading then 120mg monthly SC,Loading dose first month,Injection site reactions; injection site pruritus,Hypersensitivity to galcanezumab,CGRP class - bypasses oral preventive requirement per AHS 2024,2058880,AHS 2024; FDA-approved
Eptinezumab,eptinezumab-jjmr,CGRP mAb,CGRP monoclonal antibody,100,300,mg/quarter,24,6 months (2 infusions),6 months,Level A (Established),100mg IV quarterly,May increase to 300mg if inadequate response,Nasopharyngitis; hypersensitivity reactions (rare),Hypersensitivity to eptinezumab,CGRP class - IV formulation; bypasses oral preventive requirement,2179711,AHS 2024; FDA-approved
