Medication_Name,Generic_Name,Brand_Names,Drug_Class,MOH_Category,MOH_Threshold_Days_Per_Month,Active_Ingredients,Common_Doses,Max_Daily_Dose,Caffeine_Content_mg,Diary_Category,ICHD3_MOH_Reference,PA_Relevance,RxNorm_ID,Notes
Acetaminophen,acetaminophen,"Tylenol, Panadol, Mapap",Simple Analgesic,Simple analgesic,15,Acetaminophen,"325mg, 500mg, 650mg ER",4000mg (3000mg if alcohol use),0,OTC Pain Reliever,8.2.1,"Overuse supports MOH diagnosis (G44.41); document frequency ≥15 days/month x 3 months",161,Most common OTC; hepatotoxicity risk at high doses
Ibuprofen,ibuprofen,"Advil, Motrin, Nuprin",NSAID,Simple analgesic,15,Ibuprofen,"200mg, 400mg, 600mg, 800mg",1200mg OTC (3200mg Rx),0,OTC Pain Reliever,8.2.1,"Overuse supports MOH diagnosis; GI/renal risks with chronic use",5640,Available OTC up to 200mg tablets
Naproxen Sodium,naproxen sodium,"Aleve, Naprosyn, Anaprox",NSAID,Simple analgesic,15,Naproxen sodium,"220mg, 275mg, 550mg",660mg OTC (1375mg Rx),0,OTC Pain Reliever,8.2.1,"Longer half-life than ibuprofen; less frequent dosing",142442,220mg OTC = 200mg naproxen base
Aspirin,aspirin,"Bayer, Bufferin, Ecotrin",NSAID/Salicylate,Simple analgesic,15,Aspirin,"325mg, 500mg, 650mg",4000mg,0,OTC Pain Reliever,8.2.1,"Overuse supports MOH; also antiplatelet effects",1191,Low-dose (81mg) for cardiac not counted for headache
Excedrin Extra Strength,acetaminophen/aspirin/caffeine,"Excedrin Extra Strength, Excedrin Migraine",Combination Analgesic,Combination analgesic,10,"Acetaminophen 250mg, Aspirin 250mg, Caffeine 65mg",2 tablets,8 tablets (2000mg each APAP/ASA),65 per tablet (130 per dose),OTC Migraine,8.2.3,"⚠️ LOWER THRESHOLD: ≥10 days/month = MOH. Caffeine component increases dependence risk",217319,Excedrin Migraine is identical formulation; FDA-approved for migraine
Excedrin Tension Headache,acetaminophen/caffeine,Excedrin Tension Headache,Combination Analgesic,Combination analgesic,10,"Acetaminophen 500mg, Caffeine 65mg",2 tablets,8 tablets (4000mg APAP),65 per tablet (130 per dose),OTC Pain Reliever,8.2.3,"Lower threshold than simple analgesics; caffeine withdrawal contributes to rebound",857002,No aspirin - for patients with ASA sensitivity
BC Powder,aspirin/caffeine,BC Powder,Combination Analgesic,Combination analgesic,10,"Aspirin 845mg, Caffeine 65mg",1 powder packet,4 packets,65 per packet,OTC Pain Reliever,8.2.3,"High aspirin dose; rapid absorption powder form; popular in Southeast US",213469,Regional popularity; powder formulation
Goody's Extra Strength,acetaminophen/aspirin/caffeine,Goody's Extra Strength Headache Powder,Combination Analgesic,Combination analgesic,10,"Acetaminophen 260mg, Aspirin 520mg, Caffeine 32.5mg",1 powder packet,4 packets,32.5 per packet,OTC Pain Reliever,8.2.3,"Similar to Excedrin but powder; regional popularity",213482,Powder formulation for faster onset
Anacin,aspirin/caffeine,Anacin,Combination Analgesic,Combination analgesic,10,"Aspirin 400mg, Caffeine 32mg",2 tablets,8 tablets,32 per tablet (64 per dose),OTC Pain Reliever,8.2.3,"Lower caffeine than Excedrin; aspirin-based",211281,Older brand; still available
Vanquish,acetaminophen/aspirin/caffeine,Vanquish,Combination Analgesic,Combination analgesic,10,"Acetaminophen 194mg, Aspirin 227mg, Caffeine 33mg",2 tablets,8 tablets,33 per tablet,OTC Pain Reliever,8.2.3,"Lower doses of each ingredient; buffered",213498,Contains buffers for GI tolerance
