State,Payer_Name,Payer_Type,LOB,Drug_Class,Medication_Category,Step_Therapy_Required,Step_1_Requirement,Step_1_Duration,Step_2_Requirement,Step_2_Duration,Quantity_Limit,Contraindication_Bypass,Gold_Card_Available,Gold_Card_Threshold,Policy_ID,Source_Document,Vault_Payer_ID,National_Payer_ID,Vault_Denial_Code,Episodic_Same_As_Chronic,High_Freq_Episodic_Threshold,Episodic_Notes
PA,Highmark Blue Cross Blue Shield,Commercial,Commercial,Gepants (Acute),Acute,Yes,"≥2 triptans from different chemical families (sulfonamide: sumatriptan/naratriptan vs indole: rizatriptan/zolmitriptan),≥4 weeks each unless early discontinuation for documented adverse effects,N/A",,Standard QL,Yes - CV risk factors (uncontrolled HTN, CAD, CVD) qualify immediately without triptan trial; contraindication to vasoconstrictive agents,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,Policy I-11-042,Pennsylvania_2026_PA_Audit,PA-COM-HIGHBCBS,54154,DENY-STEP-001,True,,
PA,Highmark Blue Cross Blue Shield,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,"≥2 distinct oral preventive classes (beta-blockers, anticonvulsants, TCAs, SNRIs) at therapeutic doses (propranolol ≥80mg, topiramate ≥100mg, amitriptyline ≥50mg)",≥8 weeks each,,,Aimovig/Ajovy/Emgality; failure = <50% reduction in monthly migraine days OR intolerable side effects,Yes - documented contraindications: depression (TCA unsafe); cognitive impairment (topiramate); CV contraindication (beta-blockers); sedation impacting occupation,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,Policy I-11-042,Pennsylvania_2026_PA_Audit,PA-COM-HIGHBCBS,54154,DENY-STEP-002,True,,
PA,Highmark Blue Cross Blue Shield,Commercial,Commercial,Neurotoxins,Chronic Migraine,Yes,"≥2 oral preventive classes (same as CGRP requirement); NOTE: does NOT require CGRP mAb failure before Botox - considered equivalent Tier 3 options,≥8 weeks each",,,Chronic Migraine (≥15 HA days/mo for ≥3 months, ≥8 days with migraine features),Yes - oral preventive contraindications,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,Policy I-200-005,Pennsylvania_2026_PA_Audit,PA-COM-HIGHBCBS,54154,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
PA,Independence Blue Cross,Commercial,Commercial,Gepants (Acute),Acute,Yes,"≥2 triptans OR documented contraindication; IBX accepts same-class trials if justified (e.g., two sumatriptan formulations for tolerability)",≥3 separate migraine episodes treated with each triptan,,,Standard QL,Yes - CV contraindication; accepts same-class trials with justification,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,IBX Gepants Policy effe86e1,Pennsylvania_2026_PA_Audit,PA-COM-IBX,23223,DENY-STEP-001,True,,
PA,Independence Blue Cross,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,"≥2 conventional oral preventives from different classes; IBX UNIQUELY allows SNRIs (venlafaxine, duloxetine) to count as one of two required classes",≥6 weeks each (SHORTER than Highmark 8-week),,,Standard criteria,Yes - teratogenic; CV contraindication; documented intolerance,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,IBX CGRP Policy,Pennsylvania_2026_PA_Audit,PA-COM-IBX,23223,DENY-STEP-002,True,,
PA,Independence Blue Cross,Commercial,Commercial,Neurotoxins,Chronic Migraine,Yes,≥2 oral preventives,≥6 weeks each (shorter than Highmark),,,Chronic Migraine (≥15 HA days/mo for ≥3 months); REQUIRES headache diary documentation for 3-month period prior to PA submission,Yes - oral preventive contraindications,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,IBX Botulinum Toxins Form,Pennsylvania_2026_PA_Audit,PA-COM-IBX,23223,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
PA,UPMC Health Plan,Commercial,Commercial,Gepants (Acute),Acute,Yes,≥2 DIFFERENT triptans (explicitly requires chemical class distinction),≥4 weeks each unless early discontinuation documented,,,Standard QL,Yes - CV contraindication; contraindication to vasoconstrictive agents,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,UPMC Pharmacy PA Criteria,Pennsylvania_2026_PA_Audit,PA-COM-UPMC,93692,DENY-STEP-001,True,,
PA,UPMC Health Plan,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,"≥2 conventional preventives from different classes (beta-blockers, anticonvulsants, TCAs explicitly listed as preferred first-line)",≥8 weeks each,,,Standard criteria,Yes - documented contraindications/intolerances,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,UPMC CGRP Policy,Pennsylvania_2026_PA_Audit,PA-COM-UPMC,93692,DENY-STEP-002,True,,
PA,UPMC Health Plan,Commercial,Commercial,Neurotoxins,Chronic Migraine,Yes,≥2 oral preventives,≥8 weeks each,,,Chronic Migraine (≥15 HA days/mo for ≥3 months); accepts EITHER headache diary OR physician attestation in clinical notes,Yes - oral preventive contraindications,Act 146 (2026 measurement year),≥90% approval; exemptions begin 1/1/2027,UPMC Botox Policy,Pennsylvania_2026_PA_Audit,PA-COM-UPMC,93692,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
PA,UPMC For You,Medicaid MCO,Medicaid Pharmacy,Gepants (Acute),Acute,Yes,"≥2 triptans from different chemical classes per PA DHS PDL (pharmacy CARVED OUT to state PDL),≥4-6 weeks each (adequate trial); failure = <50% reduction OR intolerable effects OR contraindication (CV disease, hemiplegic/basilar migraine),N/A,N/A,PA DHS PDL governs; different from UPMC Health Plan commercial",Yes - CV contraindication to vasoconstrictive agents (uncontrolled HTN, ischemic heart, PVD, CVD, hemiplegic/basilar migraine),Act 146 (Medicaid),,PA DHS Statewide PDL,Pennsylvania_2026_PA_Audit,PA-MCD-UPMCHEALTH,93692,DENY-STEP-001,True,,
PA,UPMC For You,Medicaid MCO,Medicaid Pharmacy,CGRP mAbs (SC),Preventive,Yes,"≥2 distinct oral preventive classes per PA DHS PDL (beta-blockers: propranolol/metoprolol, anticonvulsants: topiramate/valproic acid, TCAs: amitriptyline/nortriptyline) at therapeutic doses",≥8 weeks each unless discontinued early for documented adverse effects; failure = <50% reduction OR intolerable adverse effects,,,PA DHS PDL governs; most stringent in state,Yes - documented contraindications per PA DHS PDL bypass criteria,Act 146 (Medicaid),,PA DHS Statewide PDL,Pennsylvania_2026_PA_Audit,PA-MCD-UPMCHEALTH,93692,DENY-STEP-002,True,,
PA,UPMC For You,Medicaid MCO,Medical Benefit,Neurotoxins,Chronic Migraine,Yes,"≥2 oral preventives per UPMC For You medical policy (NOT commercial UPMC Health Plan policy),≥8 weeks each",,,Chronic Migraine per ICHD-3 (≥15 HA days/mo for ≥3 consecutive months, ≥8 days with migraine features); must document via headache diary or clinical note for 3-month period preceding PA,Yes - oral preventive contraindications,Act 146 (Medicaid),,UPMC For You Medical Policy,Pennsylvania_2026_PA_Audit,PA-MCD-UPMCHEALTH,93692,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
PA,AmeriHealth Caritas Pennsylvania,Medicaid MCO,Medicaid Pharmacy,CGRP mAbs (SC),Preventive,Yes,≥2 oral preventive classes per PA DHS PDL,≥8 weeks each,,,PA DHS PDL governs; dedicated Migraine Prevention Agents PA form available,Yes - documented contraindications,Act 146 (Medicaid),,AmeriHealth Migraine Prevention Form,Pennsylvania_2026_PA_Audit,PA-MCD-AMERIHEALTH,AMH,DENY-STEP-002,True,,
PA,Novitas Solutions,Medicare MAC,Part B,Neurotoxins,Chronic Migraine,Yes,"Failed 'conventional methods' of treatment (best practice: ≥2 oral preventive classes documented),Documented in medical record",,,LCD L38809/DL39909; Chronic Migraine (≥15 HA days/mo for >3 months, ≥8 migraine days); Episodic NOT covered; injection sites + dosages must be documented; JW modifier for waste MANDATORY; Original Medicare = post-service prepayment audits (no pre-service PA); MA plans DO require pre-service PA,Yes - documented conventional therapy failures,No - Federal Medicare,,LCD L38809/DL39909,Pennsylvania_2026_PA_Audit,PA-MAC-NOVITAS,NOVITAS,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
DE,Highmark BCBS DE,Commercial,Commercial,Gepants (Acute),Acute,Yes,≥2 triptans,Trial required,,,"Ubrelvy 16/30d, Nurtec 8/30d",Yes - CV contraindication,Yes (Voluntary),90% approval rate,I-11-042,Delaware_2026_PA_Audit,DE-COM-HIGHBCBS,65093,DENY-STEP-001,True,,
DE,Highmark BCBS DE,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,"1 agent from 2 different classes (beta-blocker, antidepressant, anti-epileptic, ARB)",≥8 weeks each,,,Monthly supply,Yes - teratogenic; CV per 18 Del. C. § 3381,Yes (Voluntary),90% approval rate,I-200-005,Delaware_2026_PA_Audit,DE-COM-HIGHBCBS,65093,DENY-STEP-002,True,,
DE,Highmark BCBS DE,Commercial,Commercial,Neurotoxins,Chronic Migraine,Yes,≥2 prophylactic classes,≥6 weeks each,,,155 units/12 weeks,Yes,Yes (Voluntary),90% approval rate,I-11-042,Delaware_2026_PA_Audit,DE-COM-HIGHBCBS,65093,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
DE,Highmark BCBS DE,Commercial,Commercial,CGRP mAbs (IV),Preventive IV,Yes,Must justify why SubQ CGRP not appropriate,,Fail SubQ CGRP or document barrier,,Quarterly infusion,Yes - needle phobia; inability to self-inject,Yes (Voluntary),90% approval rate,I-222-007,Delaware_2026_PA_Audit,DE-COM-HIGHBCBS,65093,DENY-GOLD-001,True,,
DE,AmeriHealth Caritas Delaware,Medicaid MCO,Medicaid,CGRP mAbs (SC),Preventive,Yes,≥2 PDL agents (may be same class unlike Highmark); pharmacy fill history required,Documented + adherence proof,,,DMAP PDL; Emgality/Ajovy often preferred; Brand over Generic = DAW 1; SDOH leverage viable,Yes - teratogenic; cognitive; respiratory,,,DMAP PDL,Delaware_2026_PA_Audit,DE-MCD-AMERIHEALTH,AmeriHealth,DENY-STEP-002,True,,
DE,Delaware First Health,Medicaid MCO,Medicaid,Gepants (Acute),Acute,Yes,≥2 triptans,Trial required,,,PDL limits,Yes per 18 Del. C. § 3381,No,,DE Medicaid PDL,Delaware_2026_PA_Audit,DE-MCD-DELFIRST,65093,DENY-STEP-001,True,,
