Payer_Name,Slug,State,Parent_Organization,National_Payer_ID,Market_Share_Pct,LOB,LOB_Code,Data_Notes,PBM_Partner,Vault_Payer_ID,Submission_Channel,Payer_Specific_URL,Standard_Turnaround,Expedited_Turnaround,Gold_Card_Status,Update_Date,Extraction_Status
Aetna,AETNA,AK,CVS Health,60054,8.0,COM,COM,State filings estimate,CVS Caremark,AK-COM-AETNA,,,,,,,
Aetna,AETNA,AZ,CVS Health,60054,12.0,COM,COM,State filings estimate,CVS Caremark,AZ-COM-AETNA,,,,,,,
Aetna,AETNA,CA,CVS Health,60054,5.0,COM,COM,State filings estimate,CVS Caremark,CA-COM-AETNA,,,,,,,
Aetna,AETNA,CO,CVS Health,60054,10.0,COM,COM,State filings estimate,CVS Caremark,CO-COM-AETNA,,,,,,,
Aetna,AETNA,CT,CVS Health,60054,28.0,COM,COM,CVS Caremark; specific 'step edits' requiring precise triptan failure counts,CVS Caremark,CT-COM-AETNA,Aetna Portal,https://www.aetna.com/,Standard,Expedited,,2026-01-11,ENRICHED
Aetna,AETNA,DE,CVS Health,60054,20.0,COM,COM,AMA 2024 data - 2nd largest,CVS Caremark,DE-COM-AETNA,,,,,,,
Aetna,AETNA,DC,CVS Health,60054,20.0,COM,COM,AMA 2024 data - 2nd largest,CVS Caremark,DC-COM-AETNA,,,,,,,
Aetna,AETNA,FL,CVS Health,60054,15.0,COM,COM,CVS Caremark PBM; Premier formulary with single preferred agent per class; strict Botox criteria (3 oral classes required - stricter than competitors); Emgality may be excluded on some plans; restrictive dual therapy policy,CVS Caremark,FL-COM-AETNA,Availity / Aetna Provider Portal,https://www.aetna.com/health-care-professionals.html,7 calendar days,72 hours,Yes (SB 7016) - Active,2026-01-11,ENRICHED
Aetna,AETNA,GA,CVS Health,60054,15.0,COM,COM,State filings estimate,CVS Caremark,GA-COM-AETNA,,,,,,,
Aetna,AETNA,IL,CVS Health,60054,8.0,COM,COM,CVS Caremark PBM; CPB 0970 for CGRPs - STRICTEST standard: requires 2 oral preventive classes for 3 MONTHS each (longer than competitors' 8-week); manages Aetna Better Health (Medicaid MCO),CVS Caremark,IL-COM-AETNA,Availity / Aetna Provider Portal,https://www.aetna.com/health-care-professionals.html,7 calendar days,72 hours,Public Act 103-0593 - July 1 2026,2026-01-11,ENRICHED
Aetna,AETNA,IN,CVS Health,60054,10.0,COM,COM,State filings estimate,CVS Caremark,IN-COM-AETNA,,,,,,,
Aetna,AETNA,IA,CVS Health,60054,8.0,COM,COM,CVS Caremark integration; standard step therapy,CVS Caremark,IA-COM-AETNA,Aetna Portal,https://www.aetna.com/,Standard,Expedited,,2026-01-11,ENRICHED
Aetna,AETNA,KS,CVS Health,60054,15.0,COM,COM,State filings estimate,CVS Caremark,KS-COM-AETNA,,,,,,,
Aetna,AETNA,KY,CVS Health,60054,5.0,COM,COM,State filings estimate,CVS Caremark,KY-COM-AETNA,,,,,,,
Aetna,AETNA,LA,CVS Health,60054,6.0,COM,COM,State filings estimate,CVS Caremark,LA-COM-AETNA,,,,,,,
Aetna,AETNA,ME,CVS Health,60054,22.0,COM,COM,AMA 2024 data - 2nd largest,CVS Caremark,ME-COM-AETNA,,,,,,,
Aetna,AETNA,MD,CVS Health,60054,10.0,COM,COM,State filings estimate,CVS Caremark,MD-COM-AETNA,,,,,,,
Aetna,AETNA,MA,CVS Health,60054,8.0,COM,COM,State filings estimate,CVS Caremark,MA-COM-AETNA,,,,,,,
