Age_Range,Medication_Name,RxNorm_ID,Pediatric_FDA_Approval_Status,FDA_Approved_Age_Minimum,Pediatric_Chronic_Migraine_Threshold,Pediatric_Dosing_Rule,Age_Specific_Contraindications,Off_Label_Authority,Pediatric_Step_Therapy_Variation,Pediatric_Formulary_Notes,Pediatric_Prior_Auth_Pathway,Ref_Medication_Database_B,Data_Source,Gap_Status,Last_Updated,Notes
6-11,Aimovig (Erenumab),2392190,Yes,6,"≥4 migraine days/month for ≥3 months (episodic); ≥15 headache days/month + ≥8 migraine days for chronic (may use lower 10/4 threshold per clinician judgment)","Age 6-11: 70mg subcutaneous injection monthly (regardless of weight); do not exceed 70mg/month in this age group","None major; standard adult contraindications apply; counsel caregivers on injection site reactions; avoid if history of serious hypersensitivity to erenumab","N/A - FDA approved for age 6+","Age 6-11: Most payers require 1 oral preventive class failure (vs adult 2); minimum trial 4-8 weeks; some accept AHS 2024 first-line recommendation","UHC: PDL same as adult. Anthem: Preferred. Medicaid: Varies by state; most require oral step. CHIP: Often aligned with Medicaid","Standard PA pathway; document migraine frequency (diary), prior preventive trials if required, weight for dosing verification",Erenumab/Aimovig,"FDA Label (2023 pediatric expansion): https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761077s012lbl.pdf; 2024 AHS Consensus Statement",✓ Complete,1/11/2026,"Most payer-friendly CGRP mAb for pediatrics due to FDA approval; first-line option per 2024 AHS for patients who have not responded to or cannot use oral preventives"
12-17,Aimovig (Erenumab),2392191,Yes,6,"≥15 headache days/month + ≥8 migraine days for ≥3 months (same as adult ICHD-3 chronic migraine criteria)","Age 12-17: 70mg monthly if <60kg; 140mg monthly if ≥60kg (weight-based dosing per FDA label)","None major; counsel females 12-17 on contraception (drug not teratogenic but pregnancy should be evaluated); standard hypersensitivity precautions","N/A - FDA approved for age 6+","Age 12-17: Most payers apply adult 2-class oral preventive failure requirement; some (e.g., Cigna, select Medicaid) accept 1-class for adolescents","UHC: PDL same as adult. Anthem: Preferred agent. BCBS: Generally Tier 3. Medicaid: State PDL varies; most preferred","Standard PA pathway; same documentation as adult; requires chronic migraine diagnosis (15/8 rule) and step therapy failure documentation",Erenumab/Aimovig,"FDA Label: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761077s012lbl.pdf; ICHD-3 Section 1.3",✓ Complete,1/11/2026,"Weight-based dosing critical for adolescents; document weight at each visit; 140mg dose available for larger adolescents"
6-11,Ajovy (Fremanezumab),2381238,Yes,6,"≥4 migraine days/month for ≥3 months (episodic); chronic threshold may use 10/4 rule for younger children per clinical judgment","Age 6-11: 225mg subcutaneous injection monthly; OR 675mg quarterly (3 consecutive 225mg injections); weight-based adjustments not required per FDA label","None major; latex sensitivity warning for prefilled syringe; avoid if history of serious hypersensitivity; injection site reactions common","N/A - FDA approved for age 6+","Age 6-11: Payers may require 1 oral preventive failure; trial duration 4-8 weeks; quarterly dosing option may improve compliance","UHC: Covered. Anthem: Non-preferred (Aimovig/Emgality preferred). Medicaid: Varies; often non-preferred. CHIP: Aligned with state Medicaid","Standard PA; document migraine frequency, prior trials; note if quarterly dosing preferred for compliance",Fremanezumab/Ajovy,"FDA Label (2023 pediatric expansion): https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761089s010lbl.pdf; 2024 AHS Consensus",✓ Complete,1/11/2026,"Quarterly dosing option valuable for pediatric compliance; latex allergy screening important"
12-17,Ajovy (Fremanezumab),2381239,Yes,6,"≥15 headache days/month + ≥8 migraine days for ≥3 months (same as adult)","Age 12-17: 225mg monthly OR 675mg quarterly (same as adult dosing; no weight adjustment required)","Latex sensitivity (prefilled syringe); counsel females on contraception; standard hypersensitivity precautions","N/A - FDA approved for age 6+","Age 12-17: Adult step therapy typically applies (2 oral preventive class failures); quarterly option for compliance","UHC: Covered. Anthem: Non-preferred. Harvard Pilgrim: ⚠️ NON-FORMULARY 2026 (requires exception). Medicaid: State-dependent","Standard PA pathway; if Harvard Pilgrim, requires Formulary Exception with MOA argument (ligand vs receptor)",Fremanezumab/Ajovy,"FDA Label: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761089s010lbl.pdf; 2024 AHS Consensus",✓ Complete,1/11/2026,"⚠️ Harvard Pilgrim 'Ajovy Cliff' affects adolescents too - prepare formulary exception"
6-11,Emgality (Galcanezumab),2377629,Yes,6,"≥4 migraine days/month for ≥3 months (episodic); chronic may use 10/4 threshold per clinical judgment for younger children","Age 6-11: Loading dose 240mg (two 120mg injections) on Day 1, then 120mg monthly; same as adult protocol","None major; standard hypersensitivity precautions; injection site reactions; counsel on proper injection technique for caregivers","N/A - FDA approved for age 6+","Age 6-11: Most payers require 1 oral preventive failure; 4-8 week trial; loading dose must be documented","UHC: Preferred. Anthem: Preferred. Medicaid: Often preferred over Ajovy. CHIP: Aligned with Medicaid PDL","Standard PA; document loading dose administration; prior oral preventive trials if required",Galcanezumab/Emgality,"FDA Label (2023 pediatric expansion): https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761063s009lbl.pdf; 2024 AHS Consensus",✓ Complete,1/11/2026,"Loading dose protocol same as adult; payers generally accept Emgality as preferred alongside Aimovig"
12-17,Emgality (Galcanezumab),2377630,Yes,6,"≥15 headache days/month + ≥8 migraine days for ≥3 months (same as adult ICHD-3)","Age 12-17: Loading dose 240mg on Day 1, then 120mg monthly (same as adult; no weight adjustment)","Standard hypersensitivity precautions; counsel females on contraception; injection site reactions","N/A - FDA approved for age 6+","Age 12-17: Adult step therapy applies (2 oral preventive class failures); loading dose documentation required","UHC: Preferred. Anthem: Preferred. BCBS: Tier 3. Medicaid: State PDL varies; generally accessible","Standard PA pathway; same as adult; document loading dose",Galcanezumab/Emgality,"FDA Label: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761063s009lbl.pdf; ICHD-3",✓ Complete,1/11/2026,"Well-tolerated in adolescents; loading dose improves time to efficacy"
12-17,Nurtec ODT (Rimegepant),2540371,Off-Label,18,N/A - Acute treatment,"Age 12-17: 75mg single dose as needed (uses adult dose; no pediatric weight-based adjustment established); maximum frequency not to exceed label guidance","None major for adolescents; standard drug interactions apply; counsel females 12-17 on contraception; avoid with strong CYP3A4 inhibitors","2024 AHS Consensus Statement: 'Oral CGRP receptor antagonists (rimegepant, ubrogepant) are recommended as acute migraine treatment options. While FDA approval is limited to adults, clinical evidence supports use in adolescents when triptans are contraindicated or ineffective.' Also: 2023 Pediatric Migraine Guidelines support gepant use in adolescents.","Off-label requires stricter step therapy: ≥2 triptan failures documented with specific dates and outcomes; or documented triptan contraindication (CV disease, hemiplegic migraine)","Not on most pediatric formularies; requires Medical Necessity Letter citing AHS Consensus and triptan contraindication/failure. UHC: Case-by-case. Anthem: Requires exception. Medicaid: Rarely covered for <18","Off-label pathway: PA + Medical Necessity Letter + AHS Consensus excerpt + documentation of ≥2 triptan failures OR triptan contraindication + headache diary. Expect 2-3 week review; prepare for denial and appeal",Rimegepant/Nurtec ODT,"FDA Label (adult only): https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212728s006lbl.pdf; 2024 AHS Consensus Statement (Ailani et al.)",Pending Payer Verification,1/11/2026,"Excellent clinical option for adolescent acute migraine but not FDA-approved <18; requires strong documentation for coverage; triptan contraindication is strongest bypass argument"
12-17,Ubrelvy (Ubrogepant),2477277,Off-Label,18,N/A - Acute treatment,"Age 12-17: 50mg or 100mg single dose (uses adult dosing; 50mg may be tried first in smaller adolescents); may repeat once after 2 hours if needed","None major; avoid with strong CYP3A4 inhibitors; hepatic impairment requires dose adjustment; counsel females on contraception","2024 AHS Consensus Statement supports gepant use in adolescents when triptans contraindicated or failed; no direct pediatric RCT data but mechanism supports safety in adolescents","Off-label: ≥2 triptan failures required OR documented triptan contraindication; stricter than Nurtec due to less adolescent prescribing data","Rarely covered for <18; most payers require Nurtec exception first or will accept either gepant. UHC: Case-by-case. Anthem: Requires exception","Off-label PA pathway: Medical Necessity Letter + AHS excerpt + triptan failure/contraindication documentation + diary",Ubrogepant/Ubrelvy,"FDA Label (adult): https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/211765s007lbl.pdf; 2024 AHS Consensus",Pending Payer Verification,1/11/2026,"Less commonly prescribed for adolescents than Nurtec; similar efficacy profile; 50mg starting dose reasonable for smaller adolescents"
12-17,Sumatriptan Nasal Spray,199039,Yes,12,N/A - Acute treatment,"Age 12-17: 5mg, 10mg, or 20mg intranasal; start with 10mg or 20mg based on severity; may repeat after 2 hours; maximum 40mg/24 hours","Contraindicated in hemiplegic or basilar migraine; contraindicated with CV disease, uncontrolled hypertension, peripheral vascular disease; avoid within 24 hours of ergotamines or other triptans; serotonin syndrome risk with SSRIs/SNRIs","N/A - FDA approved for age 12+","Standard triptan; often required as first-line step before gepants; 1-2 triptan trials typically required before advanced therapies","All payers: Preferred/Tier 1; generic available; no PA typically required. Medicaid: Preferred. CHIP: Preferred","No PA typically required; document response if later requesting gepant/CGRP",Sumatriptan,FDA Label: https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/020626s019lbl.pdf,✓ Complete,1/11/2026,"First-line acute treatment for adolescents; nasal spray preferred over oral for faster onset and in patients with nausea/vomiting"
12-17,Sumatriptan Oral,199038,Off-Label,18,N/A - Acute treatment,"Age 12-17: 25mg, 50mg, or 100mg oral; start with 50mg; may repeat after 2 hours; maximum 200mg/24 hours (uses adult dosing off-label)","Same contraindications as nasal: hemiplegic/basilar migraine, CV disease, uncontrolled HTN, PVD; serotonin syndrome risk with SSRIs/SNRIs; avoid with ergotamines","Off-label but widely used; 2024 AHS and AAP guidelines support oral triptan use in adolescents; extensive real-world safety data","Off-label but routinely covered; most payers do not distinguish oral from nasal for step therapy purposes","All payers: Preferred/Tier 1; generic; minimal PA barriers despite off-label status. Medicaid: Covered. CHIP: Covered","Typically no PA; if PA required, document migraine diagnosis and response",Sumatriptan,"FDA Label (oral adult): https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/020132s035lbl.pdf; AAP Guidelines; AHS Consensus",✓ Complete,1/11/2026,"Despite off-label status for <18, routinely prescribed and covered; nasal spray has FDA approval so may be preferred documentation"
6-11,Rizatriptan (Maxalt),199889,Yes,6,N/A - Acute treatment,"Age 6-11: 5mg (weight <40kg) or 10mg (weight ≥40kg) orally or ODT; may repeat after 2 hours; weight-based dosing critical","Same triptan contraindications: hemiplegic/basilar migraine, CV disease, uncontrolled HTN; avoid with propranolol (increases rizatriptan levels - reduce rizatriptan dose to 5mg max); serotonin syndrome risk","N/A - FDA approved for age 6+","First-line triptan for pediatrics due to FDA approval in young children; often required before CGRP therapies","All payers: Preferred; generic available. Medicaid: Preferred. CHIP: Preferred. Weight documentation may be required for 10mg dose","Minimal PA; document weight if requesting 10mg dose in child <40kg",Rizatriptan/Maxalt,FDA Label: https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020864s018lbl.pdf,✓ Complete,1/11/2026,"⚠️ Drug interaction with propranolol important - if child on propranolol for prevention, reduce rizatriptan dose; weight-based dosing must be documented"
